,State,City,FIPS, Pop 2010 ,Cancer %,Asthma %,Heart Disease %,Pulminary Disease %,Mental Illness %,Poor Health %,Lat,Lon,Lat_Metro,Lon_Metro,Avg Temp 1990,Avg Temp 2014,Pop_Metro_2015,CO2 1975,CO2 1990,CO2 2000,CO2 2012,PM2.5 2000,PM2.5 2005,PM 2.5 2010,PM2.5 2014,Heat Wave Index,Poverty Rate 2009-2013,Economic Rank,FIPS_place,stname,state_fips
10,CA,Fresno,627000,494665,4.9,9.8,5.8,6.6,14.6,14.3,36.78267867,-119.79412659999998,36.78757662,-119.7705095,17.81812143,18.90532923,652855.9733,4418893.677,3809006.317,4070041.367,3432841.139,21.9559,16.47764,15.1556,19.44245,10.47669983,0.289,37,27000,California,6
11,CA,Los Angeles,644000,3792621,4.9,8.5,4.9,5.3,12.9,12.8,34.11822779,-118.4085001,33.95381355,-117.95392530000001,16.86275053,17.60802174,14281719.8,161849832.2,142413298.3,140145811.4,112698520.4,19.35878,16.507,14.6612,16.4171,4.282859802,0.22,81,44000,California,6
12,CA,Sacramento,664000,466488,5.2,9.9,5.4,5.9,13.2,12.7,38.56663216,-121.4682998,38.60280713,-121.3875759,15.892175199999999,17.10165453,1528104.2980000002,10809208.45,9355332.03,10255598.06,9163732.279,14.346079999999999,11.28912,10.927966,12.9805,6.958010197,0.21899999999999997,64,64000,California,6
13,CA,San Diego,666000,1307402,5.0,8.0,4.4,4.3,11.6,9.8,32.83556394,-117.11979209999998,32.82158244,-117.1106947,17.49774694,18.3498106,4437234.748,24338564.34,20151235.7,20469459.61,19049698.49,18.308120000000002,14.952020000000001,13.4959,14.41595,2.917210102,0.0,45,66000,California,6
14,CA,San Francisco,667000,805235,5.2,7.8,4.5,4.0,9.9,8.9,37.75591366,-122.4409879,37.32711544,-121.93329890000001,14.36730981,15.53486609,4604961.31,43064128.06,38370576.09,37860900.25,30408585.7,13.9966,11.37164,11.25792,11.9947,3.800590038,0.135,4,67000,California,6
15,CA,Stockton,675000,291707,4.9,9.5,6.1,6.5,14.4,14.4,37.97663227,-121.3111217,37.97378272,-121.29524440000002,15.7457211,17.04826498,365617.9699,1726878.948,1598270.634,1726653.584,1325509.404,14.99624,11.57092,11.131124,13.20855,9.537779808,0.243,34,75000,California,6
16,MD,Baltimore,2404000,620961,5.5,12.3,6.4,7.2,13.9,12.3,39.3084524,-76.61604923,39.31155264,-76.61148208,13.35398746,13.17422318,1360858.2980000002,15272624.37,13155469.29,11592406.32,9739341.257000001,19.015320000000003,15.00314,11.72638,11.43635,6.844810009,0.23800000000000002,109,04000,Maryland,24
17,LA,Baton Rouge,2205000,229493,5.2,9.4,6.4,6.8,14.0,12.8,30.45108917,-91.1263552,30.43326952,-91.10127215,20.25940323,20.75579023,270758.8464,7692179.905,11039201.13,10239254.39,5451820.643999999,18.20844,13.259039999999999,10.246752,10.63165,23.91959953,0.254,145,05000,Louisiana,22
18,LA,New Orleans,2255000,343829,5.2,9.4,6.2,6.8,13.3,12.7,30.06870099,-89.93163179,29.96009972,-90.10226475,20.68001986,21.23933458,680993.5612,13545187.91,9712104.045,8580962.956,6276583.717999999,14.039220000000002,10.062586,8.08972,8.0354,11.24289989,0.273,189,55000,Louisiana,22
19,AL,Birmingham,107000,212237,5.6,10.5,7.5,8.8,15.2,16.3,33.52756638,-86.79881747,33.50902518,-86.82365065,17.06690979,17.49764442,196387.767,2202561.192,1989846.7230000002,1714411.25,1858031.765,19.38254,13.8868,10.625714,10.3269,20.21800041,0.0,165,07000,Alabama,1
20,AL,Montgomery,151000,205764,5.9,10.4,6.8,8.2,14.5,14.5,32.34726453,-86.26770596,32.36013413,-86.24918667,18.7232604,18.80465984,143898.0402,1169437.696,992769.4697,965123.3069,870672.1456,19.5089,14.810479999999998,11.407639999999999,11.3375,14.78829956,0.0,116,51000,Alabama,1
21,MA,Boston,2507000,617594,4.5,11.4,4.6,5.1,13.9,10.5,42.31557968,-71.09165058,42.38499617,-71.06303941,10.30256605,10.7555151,2063274.1830000002,24637639.3,22116676.64,23176358.33,21858037.97,12.76518,10.7339,8.771842,9.085375,4.048449993,0.214,48,07000,Massachusetts,25
22,NY,Buffalo,3611000,261310,5.8,12.7,7.1,8.5,15.5,15.8,42.90145182,-78.84752373,42.9237412,-78.81130882,8.794063807,9.090383291,615835.9218,9772111.324,9625372.489,9312949.12,5282788.675,14.9821,12.28924,9.591696,10.30295,10.84090042,0.307,143,11000,New York,36
23,NY,New York,3651000,8175133,5.3,10.5,5.6,5.9,12.3,12.2,40.69496069,-73.93138504,40.77321423,-73.88090455,12.63459301,13.03097224,15950674.29,191163993.2,164254990.0,162885973.3,141148793.4,16.08942,12.9189,10.247822,10.5604,7.389339924,0.203,94,51000,New York,36
24,NY,Rochester,3663000,210565,5.2,12.6,6.2,8.1,16.4,15.5,43.16798029,-77.61623489,44.03841773,-92.48765596,7.495914459,7.825223922999999,75427.49223999999,228034.5896,200162.9781,212845.2669,194537.586,15.153120000000001,12.1826,10.02342,10.87145,6.625450133999999,0.0,158,63000,New York,36
25,NC,Charlotte,3712000,731424,5.0,8.6,4.8,5.2,11.9,10.3,35.207872200000004,-80.83007546,35.19478888,-80.8479022,16.35830283,16.56829786,370497.0553,4222924.545,5095555.587,6037405.882999999,4228945.445,19.05508,13.126539999999999,10.58084,9.521135000000001,5.680620192999999,0.171,13,12000,North Carolina,37
26,NC,Durham,3719000,228330,4.8,8.8,4.8,5.3,12.7,10.8,35.98091474,-78.90591611,35.99882543,-78.90339529,15.82902646,16.048517699999998,60840.37531,133445.8045,117909.17,139065.7182,128493.9645,17.48002,13.245020000000002,10.435724,9.246310000000001,6.735589981,0.2,77,19000,North Carolina,37
27,NC,Greensboro,3728000,269666,5.5,9.1,5.6,6.1,13.2,11.4,36.09604804,-79.82768331,36.06996335,-79.84098304,15.12003613,15.31133246,167975.0284,1003576.235,895492.1936,996985.4314,911469.0919,17.647560000000002,12.88912,10.001884,8.689865,8.541000366,0.203,156,28000,North Carolina,37
28,NC,Raleigh,3755000,403892,4.8,8.5,4.2,4.6,12.2,9.2,35.83220809,-78.64402438,35.8341106,-78.64480454,15.82902646,16.048517699999998,278581.7325,1237923.93,1105134.462,1240866.624,1122573.887,17.97354,13.2217,10.308074000000001,9.139125,7.074779987,0.162,6,55000,North Carolina,37
29,NC,Winston-Salem,3775000,229617,6.0,9.2,6.5,7.0,14.1,12.9,36.102945299999995,-80.26098892,36.09411387,-80.26062166,14.85567594,15.03161263,88908.1026,418196.2065,372092.0622,400790.1839,372802.3008,17.48134,13.019160000000001,10.08695,8.947014999999999,9.893300056000001,0.23199999999999998,160,75000,North Carolina,37
30,IL,Chicago,1714000,2695598,5.0,9.9,5.3,5.8,12.2,12.4,41.83729506,-87.68623087,41.79396274,-87.82253727,10.22556663,10.44071722,6779775.294,93164678.42,82876182.34,82311959.48,65460184.72,18.36028,13.425460000000001,11.933760000000001,12.54255,5.792150021,0.226,132,14000,Illinois,17
31,OH,Cincinnati,3915000,296943,5.5,10.9,6.4,7.9,15.0,13.7,39.14117471,-84.50600045,39.2369108,-84.46200196,12.19838429,12.43175149,764046.6174,8606238.899,6774873.092999999,6306984.372,5309938.138,18.77534,14.68338,12.3019,12.8798,10.49839973,0.304,131,15000,Ohio,39
32,OH,Cleveland,3916000,396815,5.7,11.8,8.4,10.5,16.5,17.5,41.47653458,-81.68054949,41.47505094,-81.64622338,10.21175623,10.280157800000001,1188874.549,17115431.48,16285626.96,15637508.08,12382651.71,19.548779999999997,15.956760000000001,12.60308,12.686,11.08679962,0.354,167,16000,Ohio,39
33,OH,Columbus,3918000,787033,5.1,10.1,5.3,6.8,14.6,12.0,39.98595005,-82.98517385,40.014786799999996,-82.99973942,10.57155752,10.69221854,1138151.475,10302875.09,8884251.532,8780882.242,7403380.315,18.55958,15.615639999999999,12.61064,13.06525,9.595950127,0.22399999999999998,99,18000,Ohio,39
34,OH,Toledo,3977000,287208,6.0,11.1,7.8,9.4,15.9,15.2,41.66373996,-83.58238184,41.67408047,-83.548263,10.1761651,10.04414821,248621.181,4988152.632,4589115.94,4363075.353999999,3262067.0919999997,20.2326,15.948820000000001,13.46556,14.33245,8.97317028,0.272,179,77000,Ohio,39
35,CO,Colorado Springs,816000,416427,6.1,9.5,5.0,5.0,11.6,11.2,38.86727481,-104.7606645,38.86368844,-104.7760317,9.605670691,10.36757088,396290.1245,2994216.9260000004,3243011.994,3837953.6180000002,2082876.774,10.177216,8.937694,7.857632000000001,7.739914999999999,15.91709995,0.13699999999999998,58,16000,Colorado,8
36,CO,Denver,820000,600158,5.3,8.8,4.3,4.2,11.4,10.3,39.76202837,-104.87636529999999,39.72837393,-104.98038770000001,9.310184956,9.789418697,2229499.864,19655770.26,18002360.87,20523139.84,17372973.02,10.3554,9.475478,8.72413,8.753875,13.40799999,0.191,24,20000,Colorado,8
37,MI,Detroit,2622000,713777,5.8,14.0,8.5,11.3,18.0,19.3,42.38470156,-83.10531788,42.43812719,-83.15206612,9.990496159,10.01090527,3288131.603,59077336.49,47463848.27,45154481.84,36342871.16,18.2572,14.09286,11.81886,12.3398,8.886159897,0.39299999999999996,121,22000,Michigan,26
38,IN,Fort Wayne,1825000,253691,6.2,10.9,6.9,7.5,13.4,13.5,41.08849204,-85.14358988,41.09405071,-85.10826022,10.55536675,10.43110633,202795.9841,1473624.313,1258166.455,1195641.324,1050401.178,18.26434,15.29854,12.46194,12.78835,7.020820141000001,0.187,118,25000,Indiana,18
39,IN,Indianapolis,1836003,820445,5.7,10.9,6.4,7.4,14.1,13.1,39.77712211,-86.14578215,39.80875482,-86.14531263,11.99781275,12.03193426,1086019.564,10638520.49,10325852.52,11060378.1,9747960.217,18.70204,14.45,12.176739999999999,12.7333,5.990009785,0.209,63,36003,Indiana,18
40,HI,Honolulu,71550,953207,5.5,9.5,5.0,4.1,9.6,9.4,21.45880393,-157.9732967,21.34067769,-157.8934967,23.4560318,23.5266223,512853.6667,5247006.262,3487001.7830000003,2901707.103,2018231.8769999999,7.2373460000000005,6.158930000000001,5.563796,5.765125,0.0,0.121,141,71550,Hawaii,15
41,FL,Jacksonville,1235000,821784,5.9,8.3,6.3,7.6,13.8,13.4,30.33198201,-81.67522662,30.30682272,-81.64771776,20.93350887,21.30102015,399012.6391,3054454.7169999997,2636567.155,2554092.518,2287545.494,17.177,11.95464,9.509432,8.93149,13.30799961,0.179,122,35000,Florida,12
42,FL,Miami,1245000,399457,5.3,7.4,7.6,7.1,13.1,15.5,25.782295899999998,-80.22156478,26.17958738,-80.21080390000002,24.69581079,25.10877228,5406570.288,48030898.04,38694484.36,42325304.19,36734236.44,11.560144000000001,8.569353999999999,6.611058,6.806995,12.73760033,0.299,74,45000,Florida,12
43,FL,Orlando,1253000,238300,4.8,8.2,5.3,6.3,13.4,12.8,28.48006468,-81.34524112,28.53910259,-81.37360347,22.5880785,23.00020027,1290483.024,8711035.193,7736316.068,9202664.842,8118465.919,16.67408,11.349942,9.01435,8.705165,16.41869926,0.192,7,53000,Florida,12
44,FL,Tampa,1271000,335709,5.6,8.4,6.1,6.9,13.9,13.8,27.99619804,-82.44503498,27.80797724,-82.70346723,23.04238939,23.50172043,1996766.554,16848633.43,14539981.79,16566940.1,19675910.54,18.093320000000002,12.25302,9.243166,9.400435,9.286230087,0.0,30,71000,Florida,12
45,MO,Kansas City,2938000,459787,5.7,10.3,6.0,7.3,14.0,13.8,39.1239414,-94.55412368,39.04474577,-94.60456837,13.13243341,13.43281627,1129297.081,10969156.01,10662255.98,11091909.98,9759863.326,13.9525,10.539414,9.119964,10.04349,28.08580017,0.191,97,38000,Missouri,29
46,MO,St. Louis,2965000,319294,5.5,11.4,6.4,7.8,15.5,15.4,38.63581226,-90.24511868,38.64866335,-90.29516847,14.04787922,14.31618166,1100883.938,14164697.03,12318261.59,10811407.33,9100807.897,17.64392,12.1899,10.355296000000001,11.6142,27.796199800000004,0.27399999999999997,130,65000,Missouri,29
47,NV,Las Vegas,3240000,583756,5.8,8.7,6.7,7.3,14.7,14.4,36.22741484,-115.2626701,36.14443328,-115.15907340000001,17.36658621,18.81853867,2029109.785,8782883.734,8016613.482000001,12514573.87,10063187.87,7.818639999999999,8.36398,7.0288580000000005,8.060525,9.283410072,0.171,23,40000,Nevada,32
48,NV,Reno,3260600,225221,5.8,8.9,6.0,6.3,14.8,13.6,39.554017200000004,-119.8527335,39.51338106,-119.791722,8.98013854,10.060992,235606.7919,983377.6924,882136.1942,1107778.765,1007454.623,9.065072,8.936134,8.681892,9.036385000000001,7.75440979,0.18600000000000003,11,60600,Nevada,32
49,KY,Lexington,2146027,295803,5.6,11.3,6.3,7.8,13.3,13.0,38.042325399999996,-84.45872596,38.02135026,-84.49377673,13.09833097,13.32968616,274818.88899999997,1134917.2659999998,991452.1068,1077477.014,971318.0472,16.423679999999997,12.15664,9.753852,9.367155,33.91889954,0.18899999999999997,112,46027,Kentucky,21
50,KY,Louisville,2148006,597337,6.7,12.3,8.1,9.4,14.3,14.3,38.17776899,-85.66641,38.22451115,-85.69906478,13.91126442,14.05084062,750695.1643,9797368.711000001,11016360.46,12092911.14,7806175.499,18.41504,14.07794,11.65024,11.37785,25.57579994,0.184,91,48006,Kentucky,21
51,NE,Lincoln,3128000,258379,5.7,8.3,4.7,4.8,10.7,8.7,40.80961957,-96.68067420000001,40.80322535,-96.67218054,11.03453803,11.40356755,237604.9881,1158576.481,1001557.0229999999,1097872.126,978177.5938,13.19232,10.423658,9.464926,10.4534,11.73649979,0.165,126,28000,Nebraska,31
52,NE,Omaha,3137000,408958,5.8,8.6,5.7,6.0,11.1,10.8,41.26423091,-96.04150764,41.240668799999995,-96.0581449,10.44024467,10.77462792,565017.682,4293888.839,3744450.808,3868226.0310000004,3324125.378,13.3943,11.12908,9.764936,11.4918,18.27729988,0.166,134,37000,Nebraska,31
53,WI,Madison,5548000,233209,5.1,8.8,4.2,4.2,11.7,9.0,43.08098657,-89.39151063,43.07246513,-89.40886372,7.845272779,7.996521831,274981.5456,1673457.382,1517795.406,1525193.795,1330009.592,15.0561,11.34501,9.935864,10.64205,5.356130123,0.19399999999999998,72,48000,Wisconsin,55
54,WI,Milwaukee,5553000,594833,5.0,11.0,5.8,6.6,15.4,14.0,43.06412589,-87.96724124,43.03168731,-88.0110039,8.264240861000001,8.331288576,1101829.808,12783282.34,11042007.97,10216023.86,8473098.724,15.968539999999999,11.73584,10.592492,11.08545,5.326300144,0.29100000000000004,157,53000,Wisconsin,55
55,TN,Memphis,4748000,646889,5.2,11.7,6.7,8.9,15.9,16.5,35.1046295,-89.97890609,35.08824019,-89.90631547,16.53145075,16.69794965,468149.0271,6154383.4860000005,6591855.477999999,6911020.252,5546712.835,17.18102,12.33282,10.362976,10.97785,17.65940094,0.26899999999999996,145,48000,Tennessee,47
56,TN,Nashville,4752006,601222,5.4,10.4,5.6,7.1,13.8,13.1,36.17122299,-86.78459448,36.12835685,-86.75899469,15.27210641,15.61721778,273128.9597,2208230.309,2005178.5019999999,1934184.519,1707512.6930000002,19.154420000000002,13.77094,11.20538,10.738,26.82329941,0.18899999999999997,25,52006,Tennessee,47
57,MN,Minneapolis,2743000,382578,4.6,8.5,4.0,3.9,10.9,8.8,44.9635408,-93.26783453,44.99994671,-93.2301204,7.756552696,8.145532727,1733144.7519999999,22368119.06,19309590.57,21111763.96,14874307.36,13.5509,11.309916000000001,9.459566,10.163495,6.7762398720000006,0.225,79,43000,Minnesota,27
58,OK,Oklahoma City,4055000,579999,5.7,10.2,6.6,7.2,14.5,14.0,35.46756429,-97.51376155,35.46309323,-97.52442303,16.23154378,17.07453918,616999.469,5303261.103999999,4365068.1680000005,4339812.395,3991250.397,12.92282,10.365186,8.787696,9.286485,14.36050034,0.182,147,55000,Oklahoma,40
59,OK,Tulsa,4075000,391906,6.3,10.3,6.7,7.4,14.3,14.4,36.12842134,-95.90361955,36.09653097,-95.90641721,16.02897048,16.68291688,442252.6908,4203831.407,3743532.117,4017962.182,3550282.69,14.9261,11.94778,10.120391999999999,10.4364,12.24040031,0.201,138,75000,Oklahoma,40
60,PA,Philadelphia,4260000,1526006,5.4,11.6,6.3,7.0,15.3,14.6,40.00931478,-75.13338886,39.90704662,-75.23605793,13.07065392,13.26634693,3132223.2989999996,44012215.22,40162477.49,38149363.28,30995621.77,18.2515,14.507279999999998,11.3829,10.9822,6.3013801570000005,0.265,107,60000,Pennsylvania,42
61,PA,Pittsburgh,4261000,305704,5.8,10.7,5.9,6.5,13.5,12.0,40.43962975,-79.97626149999999,40.41596736,-79.97203034,11.16158843,11.11226916,709250.094,9736551.044,8211127.07,6869877.207,5732349.779,17.80098,14.4914,11.36102,11.7346,10.23480034,0.226,150,61000,Pennsylvania,42
62,AZ,Phoenix,455000,1445632,5.2,10.3,5.5,6.1,13.9,13.6,33.57241387,-112.0889952,33.47756006,-112.0005369,21.43992901,22.37896347,3611577.485,24505816.58,21429666.54,27011328.04,24849721.91,14.4523,12.51454,11.38296,12.28,8.300450325,0.228,20,55000,Arizona,4
63,AZ,Tucson,477000,520116,5.7,10.8,6.2,6.7,14.1,14.4,32.15672445,-110.87708549999999,32.24353876,-110.9313916,18.68526888,19.76563072,588176.3438,4462234.108,3628524.369,3729495.462,3108350.9869999997,11.79462,11.189,10.239044,10.43015,8.454350471,0.252,102,77000,Arizona,4
64,OR,Portland,4159000,583776,5.8,9.5,4.9,5.1,12.1,10.1,45.53718065,-122.65003279999999,45.53094903,-122.66573319999999,10.99738264,11.73069286,1655686.139,12274354.2,10810192.86,12758363.19,11388977.34,7.843539999999999,6.8429720000000005,6.734528,6.860844999999999,5.615839958,0.17800000000000002,105,59000,Oregon,41
65,WA,Seattle,5363000,608660,5.5,8.9,4.2,4.0,10.0,8.6,47.62215434,-122.3235325,47.49542197,-122.2998149,11.55879116,12.36023092,2678205.0330000003,21770599.29,18774200.96,20169171.72,17160056.09,7.832544,6.758008,6.569719999999999,7.273785,6.580860137999999,0.136,8,63000,Washington,53
66,WA,Spokane,5367000,208916,6.7,11.0,6.4,7.6,13.9,13.5,47.67362433,-117.4159733,47.67225620000001,-117.35122220000001,8.457903862,9.256306647999999,265825.0586,1323924.227,1142726.399,1225370.674,1098821.128,9.782867999999999,9.572372,8.367268,10.80395,4.907350063,0.0,103,67000,Washington,53
67,VA,Virginia Beach,5182000,437994,5.7,8.5,4.8,5.1,11.4,10.1,36.75345933,-76.05895795,36.84947257,-76.22371144,15.90943766,16.09788299,832250.0823,8359050.328,8276028.375,8458426.117999999,6721574.172,17.55418,13.06454,9.964072,9.49669,8.035260201,0.079,173,82000,Virginia,51
68,DC,Washington,1150000,601723,4.8,10.1,4.3,5.1,11.0,9.0,38.90992414,-77.01472057,38.9228404,-77.14196317,14.64114547,14.69545531,3368613.481,32212600.58,28657231.96,28739967.12,22866016.01,17.88728,14.332820000000002,10.86924,10.74729,5.990019798,0.18600000000000003,100,50000,District of Columbia,11
69,KS,Wichita,2079000,382368,6.2,9.7,6.5,6.6,12.2,11.8,37.69056148,-97.34293668,37.68333134,-97.30966899,14.24783826,14.66271544,272839.4884,2669113.143,2318216.829,2116498.797,1908429.439,12.96764,10.425016000000001,8.977016,9.254625,11.04090023,0.17600000000000002,181,79000,Kansas,20
